gene_id	 S_10	S_11	S_12	S_13	S_14	S_15	S_16	S_17	S_18	S_1	S_2	S_3	S_4	S_5	S_6	S_7	S_8	S_9	
10091_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10103_g	1	1	3	6	1	0	6	1	2	1	3	1	0	0	4	2	2	2
10104_g	0	2	1	3	1	2	0	4	4	1	3	3	0	1	0	1	0	1
10123_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10127_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10133_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10136_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10138_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10139_g	10270	11030	7928	6677	7435	8653	6739	5628	6561	9232	10785	7298	9898	8304	8397	9685	11323	6473
10140_g	328	384	256	261	275	290	254	260	273	375	378	207	374	295	319	299	439	283
10141_g	522	508	346	356	493	436	327	336	314	450	441	280	602	418	437	357	675	395
1014_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10182_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10183_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10184_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10185_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10196_g	2	1	0	1	1	0	1	0	3	0	1	0	1	1	0	1	1	2
101_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10205_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10223_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1023_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10266_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10267_g	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
10268_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10270_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10271_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10274_g	8	9	13	12	13	27	14	23	25	5	13	12	11	4	4	10	9	1
10282_g	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
10290_g	12	3	10	1	2	1	0	1	2	15	1	2	22	5	18	9	6	3
10293_g	10	11	3	6	9	8	9	8	7	1	5	3	7	0	2	7	10	2
1032_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1035_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10367_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1036_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10379_g	4	3	5	8	6	4	7	9	9	9	5	5	2	3	5	0	1	3
10380_g	1	7	4	12	1	14	11	12	8	9	19	8	13	6	8	6	7	7
1040_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10445_g	42	32	23	32	27	31	20	30	33	22	67	38	36	43	24	27	31	37
10454_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10468_g	46	41	60	33	36	33	32	14	34	58	84	77	63	40	60	42	25	33
104_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
10540_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10549_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1056_g	1055	1149	1058	1070	1262	1077	990	1082	1417	1513	1946	2195	2062	1536	2075	1302	1063	1273
1058_g	486	515	288	2269	2779	1409	1371	2826	3467	554	693	496	605	568	614	387	355	390
10596_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10597_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10598_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10599_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10678_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10679_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10680_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10683_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10687_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10688_g	0	0	1	0	2	0	5	3	4	0	2	3	1	2	2	2	6	2
10692_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10693_g	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	3	0
10694_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10707_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10708_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10709_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10713_g	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
10717_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10719_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10729_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10733_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10793_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10796_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
